event_id,event_date,event_time,event_type,event_description,highway_id,highway_name,highway_number,road_type,state,district,location,latitude,longitude,landmark,cause,trigger,weather_related,environmental_factor,severity,severity_score,road_status,traffic_impact,delay_minutes,road_blocked,diversion_required,vehicles_affected,fatalities,injuries,vehicles_involved,property_damage,road_damage,weather_condition,temperature,rainfall_mm,visibility_km,wind_speed,snowfall,source_id,source_name,source_type,source_url,published_date,collected_date
E00001,2026-09-05,,Accident,"8 killed in late-night car-truck crash in Kerala’s Thrissur. <a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxPckl3ZWlOdjVuXzZSNXB0VF9wbGxmZWVVblBLUHhsX2VvNlFmUVRPemRtNzBDVktDME5uTDFQWi1iTmRFV1FfZnlEUUM0XzY0Y3BkRDZCUGQ4UVZuSUVZcWhOdEdmTTJpQ25GSjZfSWY2c2lSdExFOVl2emVJa00ySUo1NHZnNDhmNVYya0J4dHpIcUdYTmdiTFF1MNIBogFBVV95cUxNdmRkUHVlVTd2bkZYdG85XzFXbGhWTUl5ZTRGN3JIak5PeV9QZDFZS041MEs0OXdJZEFtLThFbTNJZ21jZGQxNERCWGRQbTRzVDVFTjVSc0Z3eWZ0MFMwMWtlcTFqN0xTWXEtTEFNZ1BDaVpYNE1ZTnczOWRSX09IdENZVHRyalhJRmhnUXkxTkg3SnpEQ0N2dFZTSWhvUzhWS2c?oc=5"" target=""_blank"">8 killed in late-night car-truck crash in Kerala’s Thrissur</a>  <font color=""#6f6f6f"">The Indian Express</font>",,,,,,,,,,,,,No,,Critical,4,,,,,,,8,,,,,,,,,,,NEWS_3495063018614699458,The Indian Express,News,https://news.google.com/rss/articles/CBMimwFBVV95cUxPckl3ZWlOdjVuXzZSNXB0VF9wbGxmZWVVblBLUHhsX2VvNlFmUVRPemRtNzBDVktDME5uTDFQWi1iTmRFV1FfZnlEUUM0XzY0Y3BkRDZCUGQ4UVZuSUVZcWhOdEdmTTJpQ25GSjZfSWY2c2lSdExFOVl2emVJa00ySUo1NHZnNDhmNVYya0J4dHpIcUdYTmdiTFF1MNIBogFBVV95cUxNdmRkUHVlVTd2bkZYdG85XzFXbGhWTUl5ZTRGN3JIak5PeV9QZDFZS041MEs0OXdJZEFtLThFbTNJZ21jZGQxNERCWGRQbTRzVDVFTjVSc0Z3eWZ0MFMwMWtlcTFqN0xTWXEtTEFNZ1BDaVpYNE1ZTnczOWRSX09IdENZVHRyalhJRmhnUXkxTkg3SnpEQ0N2dFZTSWhvUzhWS2c?oc=5,2026-09-05,2026-09-05
E00002,2026-09-04,,,"8 Tamil Nadu students killed after speeding car rams parked lorry on highway in Kerala. <a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxOM2x2d0tJaldNWW0yYVVYczQ1aVZtMWU3NU9pSVVza2IxYndsWFBaNnRVU1ZfdFZ4UWdzUXRXaFJjQTM4Z2FsWFZ3MHhhbFAzZUdKOXJvNmVTcFkxY1JKa3FVeExPT24wZ3RXUmt5SXQ3TVY5RXR4Z3QyemtTUnFoVFR0aHhMS3p0TlVLcDlQcHZtZWJodndoSkNVYzZ4bm9QdmtMeGxFT0tMck1qMnlqV3d2LXZNcFd0MWdtaWcyaGpVczVXUmJOOEQwa0pNMkZ4M0VZWFRfbWTSAd4BQVVfeXFMTjBNMXAtOTBJc1VfSEdNVnpQYjczd1pTLTN2d3c5cUtxNWw3T1RBaVZLSlFWRHExazJsb0dlaFVBc3RXenp0WVhvczNKbzVlMkZJWG5NQ3VKU0hsQXcwTkJJMTdrcW5leUk2cjlWamN1aXU1LVdwbVJWb25xSG9YVzdZQm5fME80Uk5ybHVQUGdKWFdVbDh2NXRqSUcwbHdUMXppMUMxU2luMHZaV2h5aG55aDlySEo0WkVSR3p6bzdkS2QyV2dfYU1pN0k3OVVpbkJCbkpuTFN2dHNtWlRn?oc=5"" target=""_blank"">8 Tamil Nadu students killed after speeding car rams parked lorry on highway in Kerala</a>  <font color=""#6f6f6f"">India Today</font>",,,,,,,,,,,Overspeeding,,No,,Critical,4,,,,,,,,,,,,,,,,,,NEWS_-2831489834340567265,India Today,News,https://news.google.com/rss/articles/CBMi2AFBVV95cUxOM2x2d0tJaldNWW0yYVVYczQ1aVZtMWU3NU9pSVVza2IxYndsWFBaNnRVU1ZfdFZ4UWdzUXRXaFJjQTM4Z2FsWFZ3MHhhbFAzZUdKOXJvNmVTcFkxY1JKa3FVeExPT24wZ3RXUmt5SXQ3TVY5RXR4Z3QyemtTUnFoVFR0aHhMS3p0TlVLcDlQcHZtZWJodndoSkNVYzZ4bm9QdmtMeGxFT0tMck1qMnlqV3d2LXZNcFd0MWdtaWcyaGpVczVXUmJOOEQwa0pNMkZ4M0VZWFRfbWTSAd4BQVVfeXFMTjBNMXAtOTBJc1VfSEdNVnpQYjczd1pTLTN2d3c5cUtxNWw3T1RBaVZLSlFWRHExazJsb0dlaFVBc3RXenp0WVhvczNKbzVlMkZJWG5NQ3VKU0hsQXcwTkJJMTdrcW5leUk2cjlWamN1aXU1LVdwbVJWb25xSG9YVzdZQm5fME80Uk5ybHVQUGdKWFdVbDh2NXRqSUcwbHdUMXppMUMxU2luMHZaV2h5aG55aDlySEo0WkVSR3p6bzdkS2QyV2dfYU1pN0k3OVVpbkJCbkpuTFN2dHNtWlRn?oc=5,2026-09-04,2026-09-05
E00003,2026-09-05,,,"8 Tamil Nadu engineering students killed in Kerala, their car rammed into parked lorry | India News. <a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxQdVpZT0Q0YU1rX3dOTXhlNDNmZG9kV0ZwVVREYXVnVXcycUxZaEN5M1lkaDg2QWthSDdMZ2tJUkhISEZtSHpycjFFVzZkdjJEUVdvWjB3dnd5NlVNT0ZwM0UwSUcta3d5SkRqckZQN1FCbjNxOURtNWxFR2dvX0NPLUZveklqSUlmMklXSVk1OVVMWUJrYWswNlU4aURpVURkcEw1US1oeG05VTNvdUhKS2ZXck1MVWIxOERaNjVlN1A5S3g1MHhwMzBlZjVaU0ZqWFhmV3dQeUNBM1k1dl9R0gHkAUFVX3lxTE5PZzRxZy1MRzNFeGtZemdMYTlEQkhlT0Y1X3lHSG1MYXUtekt5bmFyRWRkLUtVRGV0X0tVM1J0SkdvaldwOGhNaV9zdi0zdXFyZlJsUGJDYzB2N1lXWEZnc0dJemV4aXlZaDJIS0xQN1NoSnFxQ1hEUldwVmNzN3V4TXhFYlcyQ2Y1NTdfWElPM09oeVp5YzBXRzA4TkJKT3YtSXJQYk5JTk1NU3FqT1U0azNodE5JRkR2MFZ0LUV5d2laYXdBNmcwd1FGbG9lMHdmSTB4dVRTaExSUTlZakNVQ1ZwWQ?oc=5"" target=""_blank"">8 Tamil Nadu engineering students killed in Kerala, their car rammed into parked lorry | India News</a>  <font color=""#6f6f6f"">Hindustan Times</font>",,,,,,,,,,,,,No,,Critical,4,,,,,,,,,,,,,,,,,,NEWS_816325337829817665,Hindustan Times,News,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQdVpZT0Q0YU1rX3dOTXhlNDNmZG9kV0ZwVVREYXVnVXcycUxZaEN5M1lkaDg2QWthSDdMZ2tJUkhISEZtSHpycjFFVzZkdjJEUVdvWjB3dnd5NlVNT0ZwM0UwSUcta3d5SkRqckZQN1FCbjNxOURtNWxFR2dvX0NPLUZveklqSUlmMklXSVk1OVVMWUJrYWswNlU4aURpVURkcEw1US1oeG05VTNvdUhKS2ZXck1MVWIxOERaNjVlN1A5S3g1MHhwMzBlZjVaU0ZqWFhmV3dQeUNBM1k1dl9R0gHkAUFVX3lxTE5PZzRxZy1MRzNFeGtZemdMYTlEQkhlT0Y1X3lHSG1MYXUtekt5bmFyRWRkLUtVRGV0X0tVM1J0SkdvaldwOGhNaV9zdi0zdXFyZlJsUGJDYzB2N1lXWEZnc0dJemV4aXlZaDJIS0xQN1NoSnFxQ1hEUldwVmNzN3V4TXhFYlcyQ2Y1NTdfWElPM09oeVp5YzBXRzA4TkJKT3YtSXJQYk5JTk1NU3FqT1U0azNodE5JRkR2MFZ0LUV5d2laYXdBNmcwd1FGbG9lMHdmSTB4dVRTaExSUTlZakNVQ1ZwWQ?oc=5,2026-09-05,2026-09-05
E00004,2026-09-02,,Accident,"MP highway crash: 5 killed, 20 hurt after bus collides with bulker; PM Modi mourns deaths. <a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxPV2hCSzFLd2V2cjFJVnUxYy1HQ2JfemFiSW5YTTZzcDlnTFgtTHcyX01zZ1E0SFIwVVZVWFJJNkNlUFZVOTdNclZwX3J2ZTFWR2VMTU9QTnp4ODZwVGNqWUFyNHVBSXZUbkR0M01YRGxfdTl2T2xlV1k4azlMUFFJT3ljTVJPRElVN0JjZUJ0elBTNVc2LVpRdkU0TE5vN0FBZ1ZqdDFkSU04R2tFdjNxN3k4d2xHQ0FFcnFLQVRkbXFhUDE4VDNIQnlqa1FaYk01cnNpMUtKQklPVU9uRlM5a245ejlfZEZzbVHSAe8BQVVfeXFMT044THlnVUJWc24zMmVaU01TbzJHOUt0YTB3cDQzS1J4eEdTa1BPMi1rVVVqNFZYZWQ3bFpaN0hZeTB6V0k3b0dfeGNPTFZpRDcxbENWSi1aS3NyajYzSHBEV3NMMlRDUzJiTHU1X3BRYkR2eEJZU1F2UGNpSGd0UktWWlBHeG5sNldJTFotS0dNZ0VNWFNRNW1nWkxjQU9hTnZvMHFvbnpTUHNMSThpUEt0X015NEQ5T1ZGTFdpTjJzcmpESVNrZGFEWTZFOGRxNDVQV24yd25iMU5UaHdFYThjQ3VXTDFBbVRyaFVZeFE?oc=5"" target=""_blank"">MP highway crash: 5 killed, 20 hurt after bus collides with bulker; PM Modi mourns deaths</a>  <font color=""#6f6f6f"">The Times of India</font>",,,,,,,,,,,,,Yes,,Critical,4,,,,,,,5,,,,,,,,,,,NEWS_-8873899902985027091,The Times of India,News,https://news.google.com/rss/articles/CBMi6gFBVV95cUxPV2hCSzFLd2V2cjFJVnUxYy1HQ2JfemFiSW5YTTZzcDlnTFgtTHcyX01zZ1E0SFIwVVZVWFJJNkNlUFZVOTdNclZwX3J2ZTFWR2VMTU9QTnp4ODZwVGNqWUFyNHVBSXZUbkR0M01YRGxfdTl2T2xlV1k4azlMUFFJT3ljTVJPRElVN0JjZUJ0elBTNVc2LVpRdkU0TE5vN0FBZ1ZqdDFkSU04R2tFdjNxN3k4d2xHQ0FFcnFLQVRkbXFhUDE4VDNIQnlqa1FaYk01cnNpMUtKQklPVU9uRlM5a245ejlfZEZzbVHSAe8BQVVfeXFMT044THlnVUJWc24zMmVaU01TbzJHOUt0YTB3cDQzS1J4eEdTa1BPMi1rVVVqNFZYZWQ3bFpaN0hZeTB6V0k3b0dfeGNPTFZpRDcxbENWSi1aS3NyajYzSHBEV3NMMlRDUzJiTHU1X3BRYkR2eEJZU1F2UGNpSGd0UktWWlBHeG5sNldJTFotS0dNZ0VNWFNRNW1nWkxjQU9hTnZvMHFvbnpTUHNMSThpUEt0X015NEQ5T1ZGTFdpTjJzcmpESVNrZGFEWTZFOGRxNDVQV24yd25iMU5UaHdFYThjQ3VXTDFBbVRyaFVZeFE?oc=5,2026-09-02,2026-09-05
E00005,2026-09-04,,Accident,"Nepal: Seven Indian pilgrims killed in a road accident in Gorkha district. <a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxQN2F0dmN3Mm5nSnR6REc5V1BpUVFfQnRTZVpiUTkyZlBCLUg1VWh3Wks4WEdNdTVkMkl3OFQtd0ExdU9uM1M0REtBXzItOGwzTHhKaE9YbjBfQlBVeUxzaWMyZ3ZzYWhFSUtCanVpdzhobVFfZk83OE51bEZOWDcwSkJleHo1WTgwOFd3YUtBcTU1amFTcFRNOEVIc201QjZEck80?oc=5"" target=""_blank"">Nepal: Seven Indian pilgrims killed in a road accident in Gorkha district</a>  <font color=""#6f6f6f"">News On AIR</font>",,,,,,,,,,,,,No,,Critical,4,,,,,,,,,,,,,,,,,,NEWS_-8947739922909234652,News On AIR,News,https://news.google.com/rss/articles/CBMiowFBVV95cUxQN2F0dmN3Mm5nSnR6REc5V1BpUVFfQnRTZVpiUTkyZlBCLUg1VWh3Wks4WEdNdTVkMkl3OFQtd0ExdU9uM1M0REtBXzItOGwzTHhKaE9YbjBfQlBVeUxzaWMyZ3ZzYWhFSUtCanVpdzhobVFfZk83OE51bEZOWDcwSkJleHo1WTgwOFd3YUtBcTU1amFTcFRNOEVIc201QjZEck80?oc=5,2026-09-04,2026-09-05
E00006,2026-09-03,,,"“Why Can’t You Have Camera Surveillance?”: Supreme Court Asks NHAI To Monitor Vehicles On Highways. <a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxNY1Nma3Bzb0JCd0NvTFRQNkk0SkxRTkJsNjIxQV96NTlET09MSTBuZzR2MDR6dmlPTUs0eHlZN1RPekp0NVZIT2ZIYW1QUW9JRGF4WVJwaDJ5VjRGa2tkVEVjX0N4djNkcTlMZ0xYUUJIOHcyc0JOSlFqaDVYNFg2MUx1U1JreXo0TUsxWHJJTXM3VzFTSFZJaUJnaVlxS3NLWEFPTlEtcFFRRnA0SXpkR0dpZEI4X3RlNk5vU2QxMXdTWW1tdDN0aFR2bDHSAdIBQVVfeXFMTkNfd1dCR2wyNGFmcHdCb0pTOV9QbFdMdU11NnVoRUdzTWdQTEtGdkZxNWJHWC1DeV9Na2J5dHV3Wl9zZ0twdjluWllVNTBfUkVSNGNsa0VXVmNRM3BXcVItanV4RmtmY2lRVml3b3B2bmU1cXFfTkFUVWJlam9ZQlQwbzl5OW1NOFNmcVI0dzVkSnFfb0xhNXJlaHJsRTBEdmJOc0JYUGVkNUZRY0ZOWEtIbUpnbWRmdUtVbWVSX085NEMxbWU2dGFuY0NmTF9MZVR3?oc=5"" target=""_blank"">“Why Can’t You Have Camera Surveillance?”: Supreme Court Asks NHAI To Monitor Vehicles On Highways</a>  <font color=""#6f6f6f"">LawBeat</font>",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,NEWS_8688120610842378204,LawBeat,News,https://news.google.com/rss/articles/CBMizAFBVV95cUxNY1Nma3Bzb0JCd0NvTFRQNkk0SkxRTkJsNjIxQV96NTlET09MSTBuZzR2MDR6dmlPTUs0eHlZN1RPekp0NVZIT2ZIYW1QUW9JRGF4WVJwaDJ5VjRGa2tkVEVjX0N4djNkcTlMZ0xYUUJIOHcyc0JOSlFqaDVYNFg2MUx1U1JreXo0TUsxWHJJTXM3VzFTSFZJaUJnaVlxS3NLWEFPTlEtcFFRRnA0SXpkR0dpZEI4X3RlNk5vU2QxMXdTWW1tdDN0aFR2bDHSAdIBQVVfeXFMTkNfd1dCR2wyNGFmcHdCb0pTOV9QbFdMdU11NnVoRUdzTWdQTEtGdkZxNWJHWC1DeV9Na2J5dHV3Wl9zZ0twdjluWllVNTBfUkVSNGNsa0VXVmNRM3BXcVItanV4RmtmY2lRVml3b3B2bmU1cXFfTkFUVWJlam9ZQlQwbzl5OW1NOFNmcVI0dzVkSnFfb0xhNXJlaHJsRTBEdmJOc0JYUGVkNUZRY0ZOWEtIbUpnbWRmdUtVbWVSX085NEMxbWU2dGFuY0NmTF9MZVR3?oc=5,2026-09-03,2026-09-05
E00007,2026-09-03,,Accident,"Man dies in road accident. <a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNbFpyUkFfT2xDc2h5RXEyM1k3ajBJeTNLZXRlRGszcjRwajhYNnE0dEFPVWZfOGZ6SXl3clBORmN1NmFBQmhSbGdrbzFlZHNiSVRzZFdLSGZsUjdNd2tLTUJFSDd4RkVmLUU3cWtsSUVIRXJ4SkVpYUZXX3pMa0ZCMnRNYzF0UEl3VVNKb0JIWk13WlpLZHN2NFFCWlBCd095SVdhV0d4VdIBrAFBVV95cUxOa1YwVU9DUDRITEJKSVFKd1RrTXlBLWhncFJEeGpLQUF1ODJ1VFlYdlFfX19yc2FQcmtXZDJkZjdVenAxZ2hDMU5nMk9qdjNLdmRaczNrcnp4TG5SUWJBT2xWcWJlT1B3VUdFWFRUZ2drZTNLQW1kREU2d0JXZ2pXbWZMVHN4REQ2cllQcUo5VWk5UFhaaEVabDhiTERFZl93bWs5TkRWQXVMdml5?oc=5"" target=""_blank"">Man dies in road accident</a>  <font color=""#6f6f6f"">The Times of India</font>",,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,NEWS_1015484284805978754,The Times of India,News,https://news.google.com/rss/articles/CBMipwFBVV95cUxNbFpyUkFfT2xDc2h5RXEyM1k3ajBJeTNLZXRlRGszcjRwajhYNnE0dEFPVWZfOGZ6SXl3clBORmN1NmFBQmhSbGdrbzFlZHNiSVRzZFdLSGZsUjdNd2tLTUJFSDd4RkVmLUU3cWtsSUVIRXJ4SkVpYUZXX3pMa0ZCMnRNYzF0UEl3VVNKb0JIWk13WlpLZHN2NFFCWlBCd095SVdhV0d4VdIBrAFBVV95cUxOa1YwVU9DUDRITEJKSVFKd1RrTXlBLWhncFJEeGpLQUF1ODJ1VFlYdlFfX19yc2FQcmtXZDJkZjdVenAxZ2hDMU5nMk9qdjNLdmRaczNrcnp4TG5SUWJBT2xWcWJlT1B3VUdFWFRUZ2drZTNLQW1kREU2d0JXZ2pXbWZMVHN4REQ2cllQcUo5VWk5UFhaaEVabDhiTERFZl93bWs5TkRWQXVMdml5?oc=5,2026-09-03,2026-09-05
E00008,2026-05-11,,Accident,"Five, including two children, killed in Mahabubnagar bypass road accident. <a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxPbENzYXJQbk1ucEE5d3dFMEg1NTNQMy1USmdjVGstV1VYLTV0Wmp4QWNkck45UUNTbDZJR2lOTnZBLUZCVFhmY3JObjVnNXIwbm9qbEhWNGZsU3lVTERmV1JTQXUybFRqVkpwaW1qeFMyWGRPMFh3UVFmdUdiUDVodW9Lby1oYkVsZHVoMmUyaTMyUTI2NEVzLTIwa2pERDFLNl9jQXJmeU10cUZoNTFzNFpfWkR3YVhFelFiei05cELSAccBQVVfeXFMT3Q0YXNuVWlXY1luRzFYMHJFcHR0SnJEZGEtTmdtM1RSSFRzZVlJdGs0VVVod3RaaXNPNGtydTFYbERjNFRaUlFuTFBfam5QVGcyM3F2Y1lROWZYTXRtZmFwMmgzSWswaWRhVzVPdTE5OUY4M0MtMFZCMkFUc2xBNkQydDhWdFlOX3VwSkc3aHROVHc1d2pKZHRWSXFFOGhKb1JUNExnSzYwS2QtVUtQX1dxMF9TejdpV2FCcXItNGlxeTM3SVVuOA?oc=5"" target=""_blank"">Five, including two children, killed in Mahabubnagar bypass road accident</a>  <font color=""#6f6f6f"">The Hindu</font>",,,,,,,,,,,,,Yes,,Critical,4,,,,,,,,,,,,,,,,,,NEWS_7342712948666441167,The Hindu,News,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPbENzYXJQbk1ucEE5d3dFMEg1NTNQMy1USmdjVGstV1VYLTV0Wmp4QWNkck45UUNTbDZJR2lOTnZBLUZCVFhmY3JObjVnNXIwbm9qbEhWNGZsU3lVTERmV1JTQXUybFRqVkpwaW1qeFMyWGRPMFh3UVFmdUdiUDVodW9Lby1oYkVsZHVoMmUyaTMyUTI2NEVzLTIwa2pERDFLNl9jQXJmeU10cUZoNTFzNFpfWkR3YVhFelFiei05cELSAccBQVVfeXFMT3Q0YXNuVWlXY1luRzFYMHJFcHR0SnJEZGEtTmdtM1RSSFRzZVlJdGs0VVVod3RaaXNPNGtydTFYbERjNFRaUlFuTFBfam5QVGcyM3F2Y1lROWZYTXRtZmFwMmgzSWswaWRhVzVPdTE5OUY4M0MtMFZCMkFUc2xBNkQydDhWdFlOX3VwSkc3aHROVHc1d2pKZHRWSXFFOGhKb1JUNExnSzYwS2QtVUtQX1dxMF9TejdpV2FCcXItNGlxeTM3SVVuOA?oc=5,2026-05-11,2026-09-05
E00009,2026-08-10,,Accident,"Road accidents cross 5.13 lakh in 2025, deaths hit 1.83 lakh; Gadkari targets 50% reduction by 2030. <a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxOemFOWFJrUGh6ckpVTnB0cjQ0Nk02UlZKUFlyMG94OG1GQlBmYnk5UDh4NVIxX21wZ3dob1A1VE0tOTRjYV93cm5RTUtNZUhReHVaSGkwemYxSnpVYXlkYkc2Z0xZV1lUem44UzYzMGk2YU5BMVZjWVZQMk9kWFZHcFVQY0lsYkxDR2hhZ2UzWFBrUkd3eWhwbU42bjZ6c19iWlRJaEpZQnlNb2dyVXFFT1l3OW9xUGtuOEHSAccBQVVfeXFMT3dkR25LNU9WU281bTJyQ1RrWXZtRVpNOWotOTlEck9qRTdWd2NGMGZwanBvaFY0LWhweXM0MjRVX3RacHoxaXNwMkpsUDFKVFRGYXQ4bEtlblFqX2c1NlNyLTVZSUJ2aVZ4eE5EalA3RzNFOW16ZXVFZFBGWlU1YnlEcldBR01Fb2ctRDJoT190MVQ0Sm54Uk5YeWpHWTNsSkc4eWlNOXZuXzZydE1DdU1kWmxfeW9XVHNJdllhWFpRWmVvNXFhUQ?oc=5"" target=""_blank"">Road accidents cross 5.13 lakh in 2025, deaths hit 1.83 lakh; Gadkari targets 50% reduction by 2030</a>  <font color=""#6f6f6f"">Fortune India</font>",,,,,,,,,,,,,No,,Critical,4,,,,,,,,,,,,,,,,,,NEWS_-5900189205023969261,Fortune India,News,https://news.google.com/rss/articles/CBMiugFBVV95cUxOemFOWFJrUGh6ckpVTnB0cjQ0Nk02UlZKUFlyMG94OG1GQlBmYnk5UDh4NVIxX21wZ3dob1A1VE0tOTRjYV93cm5RTUtNZUhReHVaSGkwemYxSnpVYXlkYkc2Z0xZV1lUem44UzYzMGk2YU5BMVZjWVZQMk9kWFZHcFVQY0lsYkxDR2hhZ2UzWFBrUkd3eWhwbU42bjZ6c19iWlRJaEpZQnlNb2dyVXFFT1l3OW9xUGtuOEHSAccBQVVfeXFMT3dkR25LNU9WU281bTJyQ1RrWXZtRVpNOWotOTlEck9qRTdWd2NGMGZwanBvaFY0LWhweXM0MjRVX3RacHoxaXNwMkpsUDFKVFRGYXQ4bEtlblFqX2c1NlNyLTVZSUJ2aVZ4eE5EalA3RzNFOW16ZXVFZFBGWlU1YnlEcldBR01Fb2ctRDJoT190MVQ0Sm54Uk5YeWpHWTNsSkc4eWlNOXZuXzZydE1DdU1kWmxfeW9XVHNJdllhWFpRWmVvNXFhUQ?oc=5,2026-08-10,2026-09-05
E00010,2026-06-12,,Accident,"5 Of Family, Including Children, Killed In Road Accident In Jharkhand. <a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxPLW9ZRnM5WWdIVkpEVUczdHUyZGg1ajh1RFFmdzhsNUx0S0lOMXliSzY0S2ktZUo5c0ZXd2FqbEpiSnFRM2xLZmkzbF95bmJpeDN0ZWp4LTBwX1kxWVZobzVDSTlHXzFjUnE3b0NlRlRicnYxQTc4ZUJCY3lfZTYtUkpSX2hHVGhGVlE5U3lNX09raUZLMUV5aFoyM3R5R3Jic2xsTHAtQTVIWjVy0gG0AUFVX3lxTE9lX1NNcVFicWVQS2xJSkx2cnlvUFp5VVdYRC1zd18zb1laNWxMVVA3LXo2bkFFN1p3ck1RNWRuQVM4X2FTV2Vva21za2xoRnk2RjFFenBGUk9hR0hpUVBrRkR2akNFSjFsZE10UUlSNUlFdHFuVkFxa01yam1DOUt2UE5xcTZLSy1TT0FmQXRWeXZvVXN0NXlwbGo4d0NNOHBDUUQtcDg1SmYtS0haN3JvdDVqbg?oc=5"" target=""_blank"">5 Of Family, Including Children, Killed In Road Accident In Jharkhand</a>  <font color=""#6f6f6f"">NDTV</font>",,,,,,,,,,,,,No,,Critical,4,,,,,,,,,,,,,,,,,,NEWS_-385557913749998733,NDTV,News,https://news.google.com/rss/articles/CBMirAFBVV95cUxPLW9ZRnM5WWdIVkpEVUczdHUyZGg1ajh1RFFmdzhsNUx0S0lOMXliSzY0S2ktZUo5c0ZXd2FqbEpiSnFRM2xLZmkzbF95bmJpeDN0ZWp4LTBwX1kxWVZobzVDSTlHXzFjUnE3b0NlRlRicnYxQTc4ZUJCY3lfZTYtUkpSX2hHVGhGVlE5U3lNX09raUZLMUV5aFoyM3R5R3Jic2xsTHAtQTVIWjVy0gG0AUFVX3lxTE9lX1NNcVFicWVQS2xJSkx2cnlvUFp5VVdYRC1zd18zb1laNWxMVVA3LXo2bkFFN1p3ck1RNWRuQVM4X2FTV2Vva21za2xoRnk2RjFFenBGUk9hR0hpUVBrRkR2akNFSjFsZE10UUlSNUlFdHFuVkFxa01yam1DOUt2UE5xcTZLSy1TT0FmQXRWeXZvVXN0NXlwbGo4d0NNOHBDUUQtcDg1SmYtS0haN3JvdDVqbg?oc=5,2026-06-12,2026-09-05
