S. No.,Month,Crash Date,Crash Day,Article Date,Location,Million Plus City,State,LatLong,Vehicle 1,Vehicle/Object 2,Killed,Injured,Age,Gender,Road Type,Crash Type,Latitude,Longitude,Age_Count,Average_Age,Minimum_Age,Maximum_Age,Object_2_Type,Crash_Year,Crash_Month_Number,Crash_Day_Number
1,January,2021-12-31,Friday,2022-01-01,Alni,Nil,Maharashtra,"18.278457450374876, 76.00957388786227",CAR,TRACTOR,4,0,"70,50,45,23",BOTH,NH,Head On Collision,18.27845745037488,76.00957388786227,4.0,47.0,23.0,70.0,VEHICLE,2021,12,4
2,January,2021-12-31,Friday,2022-01-01,Hariharganj,Nil,Jharkhand,"24.543681356839087, 84.28057070288547",PICK UP,TRUCK,6,18,,BOTH,NH,Head On Collision,24.543681356839087,84.28057070288547,,,,,VEHICLE,2021,12,4
3,January,2021-12-30,Thursday,2022-01-01,Dabolim,Nil,Goa,"15.390068035586195, 73.85497360324335",CAR,DIVIDER,3,2,"27,24,24",MALE,NH,Fixed Object Collision,15.390068035586197,73.85497360324335,3.0,25.0,24.0,27.0,OBJECT,2021,12,3
6,January,2021-12-30,Thursday,2022-01-01,Lampolai,Nil,Rajasthan,"26.64362250050694, 74.19299113226057",TWO WHEELER,CAR,4,2,,,NH,Head On Collision,26.64362250050694,74.19299113226057,,,,,VEHICLE,2021,12,3
7,January,2021-12-30,Thursday,2022-01-01,Tanot,Nil,Rajasthan,"27.793665237757928, 70.35519318244828",CAR,CAR,2,9,,,NH,Head On Collision,27.793665237757928,70.35519318244828,,,,,VEHICLE,2021,12,3
8,January,2021-12-30,Thursday,2022-01-01,Mettupalayam,Coimbatore,Tamil Nadu,"11.299962063279324, 76.94191717015218",TWO WHEELER,TWO WHEELER,1,1,29,FEMALE,SH,Hit From Side,11.299962063279324,76.94191717015218,1.0,29.0,29.0,29.0,VEHICLE,2021,12,3
9,January,2022-01-01,Saturday,2022-01-02,Military Jalipa Cantt,Nil,Rajasthan,"25.808661598311467, 71.40488769828872",TWO WHEELER,TRUCK,1,0,,MALE,NH,Others,25.808661598311467,71.40488769828872,,,,,VEHICLE,2022,1,5
10,January,2021-12-31,Friday,2022-01-02,Zaheerabad,Nil,Telangana,"17.692782870071433, 77.62231729628967",TWO WHEELER,CAR,4,0,,BOTH,NH,Head On Collision,17.692782870071433,77.62231729628967,,,,,VEHICLE,2021,12,4
11,January,2022-01-01,Saturday,2022-01-02,Nagarkurnool,Nil,Telangana,"16.48884543363603, 78.3091303972808",TWO WHEELER,CAR,2,0,"19,14",MALE,SH,Head On Collision,16.48884543363603,78.3091303972808,2.0,16.5,14.0,19.0,VEHICLE,2022,1,5
13,January,2022-01-01,Saturday,2022-01-02,Sikar Road,Jaipur,Rajasthan,"27.011963538352493, 75.76932901260889",PEDESTRIAN,CAR,1,0,32,MALE,NH,Hit and Run,27.011963538352493,75.76932901260889,1.0,32.0,32.0,32.0,VEHICLE,2022,1,5
14,January,2022-01-01,Saturday,2022-01-02,Pista Chowk,Nil,Bihar,"25.188347677151736, 86.97434233075197",TWO WHEELER,TRUCK,3,0,"21,20,22",MALE,SH,Others,25.188347677151736,86.97434233075197,3.0,21.0,20.0,22.0,VEHICLE,2022,1,5
16,January,2022-01-01,Saturday,2022-01-02,Muzaffarnagar,Nil,Uttar Pradesh,"29.47257166225623, 77.71737212387585",BUS,TRUCK,2,2,"75,28",MALE,SH,Others,29.47257166225623,77.71737212387585,2.0,51.5,28.0,75.0,VEHICLE,2022,1,5
18,January,2021-12-31,Friday,2022-01-02,Injambakkam,Chennai,Tamil Nadu,"12.917305822072388, 80.25066287055597",TWO WHEELER,DIVIDER,1,0,21,MALE,SH,Fixed Object Collision,12.917305822072388,80.25066287055597,1.0,21.0,21.0,21.0,OBJECT,2021,12,4
19,January,2022-01-01,Saturday,2022-01-03,Sitra Junction,Coimbatore,Tamil Nadu,"11.038158152772837, 77.03756589670454",TWO WHEELER,BUS,1,0,47,MALE,NH,Hit From Side,11.038158152772835,77.03756589670454,1.0,47.0,47.0,47.0,VEHICLE,2022,1,5
20,January,2022-01-01,Saturday,2022-01-03,Targhar,Mumbai,Maharashtra,"18.991748018503824, 73.03711475232855",TWO WHEELER,UNIDENTIFIED,1,1,24,FEMALE,NH,Hit and Run,18.991748018503824,73.03711475232855,1.0,24.0,24.0,24.0,UNKNOWN,2022,1,5
22,January,2022-01-02,Sunday,2022-01-03,Hokrani Cross,Nil,Karnataka,"16.572508890221638, 75.9754540804605",CAR,TWO WHEELER,1,4,31,FEMALE,SH,Others,16.572508890221638,75.9754540804605,1.0,31.0,31.0,31.0,VEHICLE,2022,1,6
23,January,2022-01-02,Sunday,2022-01-03,Bevur Cross,Nil,Karnataka,"14.89006685560942, 76.22398648067914",CAR,NIL,1,7,47,FEMALE,SH,Vehicle Overturn,14.89006685560942,76.22398648067914,1.0,47.0,47.0,47.0,UNKNOWN,2022,1,6
24,January,2022-01-02,Sunday,2022-01-04,Sidedahalli,Bengaluru,Karnataka,"13.066746957230484, 77.50327116691861",TWO WHEELER,TRUCK,1,0,55,MALE,SH,With Parked Vehicle,13.066746957230484,77.50327116691861,1.0,55.0,55.0,55.0,VEHICLE,2022,1,6
25,January,2022-01-02,Sunday,2022-01-04,Nagavara,Bengaluru,Karnataka,"13.040914155489357, 77.61704511801918",TWO WHEELER,POLE,1,1,27,MALE,NH,Fixed Object Collision,13.040914155489356,77.61704511801918,1.0,27.0,27.0,27.0,OBJECT,2022,1,6
26,January,2022-01-04,Tuesday,2022-01-04,Peroorkada,Thiruvananthapuram,Kerala,"8.541149770701736, 76.97003582907308",TWO WHEELER,TREE,3,0,"16,16,16",MALE,SH,Fixed Object Collision,8.541149770701736,76.97003582907308,3.0,16.0,16.0,16.0,OBJECT,2022,1,1
28,January,2022-01-04,Tuesday,2022-01-05,Bala,Nil,Gujarat,"22.776769204616333, 71.72962248310266",CAR,NIL,2,0,"67,62",BOTH,SH,Run Off Road,22.776769204616333,71.72962248310266,2.0,64.5,62.0,67.0,UNKNOWN,2022,1,1
29,January,2022-01-03,Monday,2022-01-05,Gondal,Nil,Gujarat,"21.972787525777935, 70.78862073790624",CAR,TRUCK,2,0,,,NH,Head On Collision,21.97278752577793,70.78862073790624,,,,,VEHICLE,2022,1,0
30,January,2022-01-03,Monday,2022-01-05,Dhrol,Nil,Gujarat,"22.560348618536842, 70.4258539831936",TWO WHEELER,BUS,2,0,"18,25",MALE,SH,Others,22.56034861853684,70.4258539831936,2.0,21.5,18.0,25.0,VEHICLE,2022,1,0
31,January,2022-01-03,Monday,2022-01-05,Undri,Pune,Maharashtra,"18.45072219760597, 73.91614459634192",CAR,TRUCK,1,0,50,MALE,NH,Hit From Back,18.45072219760597,73.91614459634192,1.0,50.0,50.0,50.0,VEHICLE,2022,1,0
32,January,2022-01-02,Sunday,2022-01-05,Katraj-Dehu Bypass,Pune,Maharashtra,"18.486331175038483, 73.79708554934217",TWO WHEELER,UNIDENTIFIED,1,0,36,MALE,NH,Hit and Run,18.486331175038483,73.79708554934217,1.0,36.0,36.0,36.0,UNKNOWN,2022,1,6
34,January,2022-01-02,Sunday,2022-01-05,Gomtinagar,Lucknow,Uttar Pradesh,"26.847744161614127, 81.00770583339522",PEDESTRIAN,UNIDENTIFIED,1,0,28,MALE,NH,Hit and Run,26.847744161614127,81.00770583339522,1.0,28.0,28.0,28.0,UNKNOWN,2022,1,6
35,January,2022-01-06,Thursday,2022-01-06,Purvanchal Expressway Sultanpur,Nil,Uttar Pradesh,"26.23244327782419, 82.075673988543",SUV,DIVIDER,4,2,40,BOTH,NH,Fixed Object Collision,26.23244327782419,82.075673988543,1.0,40.0,40.0,40.0,OBJECT,2022,1,3
37,January,2022-01-04,Tuesday,2022-01-06,Manpur,Nil,Madhya Pradesh,"22.43115195743422, 75.61763951190622",TWO WHEELER,NIL,1,0,25,MALE,NH,Run Off Road,22.43115195743422,75.61763951190622,1.0,25.0,25.0,25.0,UNKNOWN,2022,1,1
39,January,2022-01-06,Thursday,2022-01-07,Hatherua Turn,Nil,Uttar Pradesh,"26.172269871051377, 79.96053447979006",CAR,TREE,3,0,"25,20,21",MALE,SH,Fixed Object Collision,26.172269871051377,79.96053447979006,3.0,22.0,20.0,25.0,OBJECT,2022,1,3
40,January,2022-01-06,Thursday,2022-01-07,Lambasingi,Nil,Andhra Pradesh,"17.819637365225628, 82.4917244273879",TWO WHEELER,LORRY,1,1,13,MALE,NH,Others,17.819637365225628,82.4917244273879,1.0,13.0,13.0,13.0,VEHICLE,2022,1,3
41,January,2022-01-05,Wednesday,2022-01-07,Patancheru,Nil,Telangana,"17.52559528053733, 78.27114402473659",AUTO RICKSHAW,DIVIDER,3,2,"24,34,26",MALE,NH,Fixed Object Collision,17.52559528053733,78.27114402473659,3.0,28.0,24.0,34.0,OBJECT,2022,1,2
42,January,2022-01-06,Thursday,2022-01-08,ORR PES College,Bengaluru,Karnataka,"12.93497388725656, 77.53145535271094",TWO WHEELER,DIVIDER,2,0,"28,30",MALE,SH,Fixed Object Collision,12.93497388725656,77.53145535271094,2.0,29.0,28.0,30.0,OBJECT,2022,1,3
44,January,2022-01-06,Thursday,2022-01-08,Chinyalisour,Nil,Uttarakhand,"30.56554678240335, 78.32522300136368",CAR,GORGE,1,4,40,MALE,NH,Vehicle Overturn,30.56554678240335,78.32522300136368,1.0,40.0,40.0,40.0,OBJECT,2022,1,3
47,January,2022-01-07,Friday,2022-01-08,Sola Overbridge,Ahmedabad,Gujarat,"23.059882776138668, 72.52057320671621",SUV,TRUCK,1,0,20,MALE,NH,Hit From Back,23.059882776138668,72.52057320671621,1.0,20.0,20.0,20.0,VEHICLE,2022,1,4
